docid,text,person_id,first_name,last_name,date,Party,Constituency,label
text17483,What recent discussions he has had with representatives of the gambling industry on protection of vulnerable online gamblers during the covid-19 outbreak. ,25617,Stephanie,Peacock,27/04/2020,Labour,Barnsley East,4
text45273,"I thank my hon. Friend for allowing me to intervene in the midst of her excellent oration. There are 3,891 children in Slough who are known to require free school meals.  Does she agree that if feeding those children over the summer was the right and humane thing to do in the middle of a pandemic, surely it is right and honourable to feed them over the winter when their parents are struggling to put food on the table and more than 1 million children could potentially go hungry? Or does she think that the Prime Minister has merely changed his priorities once again?",25695,Tan,Dhesi,21/10/2020,Labour,Slough,4
text31393,"I completely agree with my hon. Friend; it is as if he has read my speech, which says that the lack of public toilets disproportionately affects people with ill health or disability, the elderly, and also women — I mentioned menstruation — outdoor workers and homeless people.Health conditions that require frequent trips and often privacy that a cubicle alone can provide include bowel cancer; stroke; multiple sclerosis; use of a stoma; urinary incontinence, which can happen for all sorts of reasons, including family history, and at all ages; inflammatory bowel disease such as Crohn’s or ulcerative colitis; and conditions that damage the nerves that control the bowels or bottom, which can include stroke, spina bifida, recent surgery and childbirth. One in 637 people has Crohn’s; one in 417 has ulcerative colitis; one in 500 people lives with a stoma; and one in 526 has multiple sclerosis. Every single right hon. and hon. Member in this House will have constituents who are thus affected.Women need the loo more often when pregnant, menstruating or out with small children, or after childbirth. Differences in clothing and anatomy mean that it takes longer for women, which results in queues and waits, which in turn causes problems for women’s health. People’s whose job keeps them out and about have real problems if they cannot find a loo. I am sure that the Minister is aware of this, but I wish to add to his list of concerns rough sleepers and other homeless people: even if they have accommodation in a night shelter, they still need somewhere to go by day. We cannot expect them simply to stop functioning, and they may struggle to use options such as shopping centres or cafés. That is a lot of people I have listed.The “Taking the P***” report rightly points out that we have a taboo about talking about natural bodily functions and, as a result, public loos and their role in assisting with hygiene, hydration, exercise and participation in public life are not recognised sufficiently as the public health resource that they truly are — I think I have become somewhat passionate about the subject of public loos. The British Toilet Association raised with me problems of public fouling, which has consequences for health, hygiene and enjoyment of public space. There is also a risk of covid transmission through human faeces. Fouling in parks and on beaches has particular risks for children, and that has been compounded during the crisis by the closure of many public loos.The British Toilet Association also raised the fact that access to a public toilet is a human right under the UN sustainable development goals, and in particular that women and girls need somewhere private to change  sanitary products. Closing public loos does not stop people needing them; it just stops some people going about their daily lives and causes others to do things that have health consequences for us all.The Bill helps only the finances of buildings that are solely or mainly loos — so far so good — but it will do nothing to reverse the decline in numbers and will not help with the running costs of loos in other buildings. The Royal Society for Public Health estimates that the running costs of public toilets vary between £15,000 and £60,000 per year, depending on size and staffing. In 2018, the BBC’s “Reality Check” used freedom of information requests to obtain information from most councils, and concluded that at least 673 public toilets had closed between 2010 and 2018. By my calculations — the Minister may have a better calculator than me — that means that it will cost between £10 million, give or take, and £40 million, give or take, to replace those lost lavs. Given the consequences of those reductions in numbers for public health and people’s lives, will the Government at least check my workings and use their good offices to come to a more accurate figure that we can at least debate when we come to the next stages of the Bill?As I said, we will not oppose the Bill, but we will seek to amend it at later stages. As a favour to the Minister, I shall outline the ways in which we might do that. Will the Government assess the number of public lavatories in buildings that would not qualify for the provisions in the Bill, and the opportunity cost of not giving them that same support, as well as the actual financial cost? We can then debate on a more informed basis whether we need to increase the Bill’s reach to include those lavatories. Will the Government assess the cost of replacing them all? Will they assess the need for increased capacity to meet the specific needs of parents with young children, people with relevant illnesses or disabilities, women and girls, and older people? That would mean an equality impact assessment. Will they use the Bill to create provisions for emergency temporary additional financial support for local councils to help with the costs of operating, cleaning and staffing public toilets during the continuing covid crisis?I hope that by now the House will have heard my enthusiasm for reforming the provision of public loos, my urging of the Government to push the Bill further, and my utter lack of toilet puns, which frankly I need to be commended for — there may have been accidental ones, but I promise that I did not intend them — but I cannot close my speech without remarking that although this is a chronic and serious problem, it does not have the urgency of other issues under the purview of the Department for which it could, and arguably should, have used this parliamentary time before recess. Those issues include the renters’ rights Bill promised in the Queen’s Speech and the building safety Bill — legislation that covers urgent needs that are going to become apparent over the summer, as is particularly true of the renters’ rights Bill, what with the temporary ban on evictions set to end in August.We would have helped the Government to get emergency temporary legislation across the line in time for the temporary evictions ban to make sure there was provision for those who felt the need to be protected by the Secretary of State’s good words back in March, when he said that nobody should be made homeless because of coronavirus, of which there is a real risk. That time  has now gone. I am also concerned about the buildings safety Bill. It is obviously around — whispers have come to my ears — but we have not yet seen it, and three years on from Grenfell, people have spent the lockdown living in unsafe buildings and often paying for the cost of the waking watch.All in all, the Bill is needed, though a curious priority compared with other urgent needs. Given that it is before us, however, we are disappointed that the Government have failed to seize the opportunity to restore public loos, help millions of people to enjoy daily life and redress the damage done over the last 10 years, but we will return to all of this in September, when the Bill returns for its remaining Commons stages.",25402,Thangam,Debbonaire,16/07/2020,Labour,Bristol West,4
text54235,"I rise to present a petition regarding cuts to the aid budget. I am sure, Mr Deputy Speaker, that you are an avid reader of The National newspaper and that you will have read the piece today by Alistair Dutton of the Scottish Catholic International Aid Fund, who says:“We have a moral duty and, currently, a legal obligation to help those in need.”The petition states:The petition of residents of the constituency of Glasgow East,Declares that, although the COVID-19 pandemic has caused nations around the world to face tough challenges, both from a public health point of view and a financial point of view, it is absolutely vital that the pandemic does not lead the UK Government to forget the promises made to the public and its commitment to overseas aid; notes that in the Conservative 2019 general election manifesto, the aid budget remaining at 0.7% was a key promise; further declares that cutting the budget continues to break another promise by the Conservative party; further that the cut to the aid budget flies in the face of the UK Government’s promise of a Global Britain; further that this cut is another example of the UK Government’s path to becoming insular and isolated on the world stage; further that the cut in the aid budget will increase poverty and instability around the world, which will be increasingly devastating due to the COVID-19 pandemic; and further that the Government should urgently reverse this cut in the aid budget to avoid the devastating predicted impact.The petitioners therefore request that the House of Commons urge the Government to consider committing to retaining the aid budget at 0.7%, and not reducing it to 0.5% as a result of the COVID-19 pandemic spending cuts.And the petitioners remain, etc. [P002635]",25677,David,Linden,03/12/2020,Scottish National Party,Glasgow East,4
text64995,"My hon. Friend very much appeals to my sympathies in this matter and makes an excellent point. We keep the approach in Parliament under review, and over the year we have made adjustments depending on the state of the pandemic. It is clear that the House works better when it is physically present. Scrutiny is better and debate is more thorough. The ability to hold the Government to account and seek redress of grievance is enhanced by physical presence. I hope we can get back as soon as possible and I share my hon. Friend’s view that we are here to lead by example, and to show the rest of the country when it is safe to do things. Our doing so would be a very good example.",24926,Jacob,Rees-Mogg,11/02/2021,Conservative,North East Somerset,4
text51886,"The reason my Scottish National party colleagues and I, and others, have repeatedly called for this £20 uplift is that covid-19 costs people with disabilities significantly  more money than it does most others, yet they have been completely ignored. Last week, a petition from the Disability Benefits Consortium calling for the £20 uplift, which had 119,000 signatures, was handed in to the Chancellor. As the Minister who represents the interests of people with disabilities, did he ask the Chancellor to do this in today’s spending review? If not, what did he ask for?",14146,Anne,McLaughlin,25/11/2020,Scottish National Party,Glasgow North East,4
text63227,"The pandemic has exposed inadequacies in our welfare system to act as a safety net, from the insufficient level of statutory sick pay to the damaging impact of the two-child benefit limit on families. The idea of a universal basic income is gaining increasing traction as a solution to many of these issues, and there is increasing support in Wales and elsewhere for a UBI pilot funded by the UK Government. Will the Minister express his support for such a pilot and call on the UK Government to fund it?",25826,Beth,Winter,03/02/2021,Labour,Cynon Valley,4
text55502,"Sports and physical activity are vital for our physical and mental health and an important weapon in the fight against coronavirus. That is why I made the return of grassroots sports an immediate priority after national restrictions ended. Since 2 December, I am pleased to say that grassroots clubs, sports facilities and gyms have opened across all tiers.",25323,Oliver,Dowden,10/12/2020,Conservative,Hertsmere,2
text46606,What lessons his Department has learned from the (a) implementation and (b) effect of the covid-19 lockdown in prisons.,11667,Rosie,Cooper,03/11/2020,Labour,West Lancashire,4
text28263,What support his Department is providing for veterans during the covid-19 outbreak.,11455,Kerry,McCarthy,06/07/2020,Labour,Bristol East,4
text65762,"It is a great pleasure to speak in this debate about the Conservative economic track record over the last decade. I would like to focus on just one aspect of that record — jobs. I am very proud that, before covid-19, we had achieved the lowest level of unemployment since the 1970s, helping a 1,000 people, on average, into work every single day. We have known for so long that the surest way to tackle poverty in our country is to offer people the opportunity of work, and for the past decade we have done that. Employment does not just grow our national prosperity; it gives people the dignity of work and of providing for themselves and their families. It is why the Conservatives sought to make sure that work pays by consistently raising the minimum wage and the national living wage.It is why the Conservatives sought to make sure that work pays by consistently raising the minimum wage and the national living wage.To create jobs growth and bring people up the earnings ladder, we have to put in place an environment that is conducive to productive economic activity. That means appreciating the power of our businesses and the tax revenues that they generate to pay for our public services; taking tough — often, unpopular — decisions to reduce the deficit in good times, so that we are stronger in bad times; and providing a fiscal environment that encourages enterprise, innovation and ambition.Put simply, those are the foundations of economic success that have enabled the Conservative Government to boost jobs, grow our economy over nine consecutive years and reduce inequality. That is why when crisis struck the Chancellor sought and acted to protect 12 million jobs with unprecedented financial support.All of which, of course, contrasts with the fact that every recent Labour Government have left office with a higher unemployment rate than when they started. It turns out that Labour really didn’t work. That is why the electorate have consistently rejected Labour’s hostility to enterprise, unchecked spiralling debt and obsession with tax hikes and nationalisation.Labour is busy looking backwards for answers in yesterday, so cannot see that, while this crisis has been awful, Britain’s greatest days are ahead of us — with the ingenuity of our scientists, the precision of our engineers, the might of our financial services and the belief that when we talk up our country, push new boundaries and work together, we can, and we will, recover, rebuild and resume our economic growth once again.",25858,Gareth,Davies,23/02/2021,Conservative,Grantham and Stamford,4
text59111,"I join my right hon. and learned Friend the Leader of the Opposition in paying tribute to those involved in the vaccine roll-out, but the  highlighted this week that many of the country’s 11,000 community pharmacies stand ready, willing and able to deliver desperately needed covid vaccines, yet the Prime Minister’s Government have seemingly shunned an army of fully trained, experienced and registered technicians. Pharmacies such as Witham pharmacy in east Hull are at the forefront of the flu vaccine every single winter and are ready to play their part in the national effort, so will the Prime Minister now take control, fully mobilise the skills and expertise of community pharmacies and get Britain vaccinated?",24767,Karl,Turner,13/01/2021,Labour,Kingston upon Hull East,4
text61506,What steps his Department is taking to support the newly self-employed during the covid-19 outbreak. ,25220,Mike,Kane,26/01/2021,Labour,Wythenshawe and Sale East,4
text47928,"I thank my hon. Friend very much; alas, due to covid restrictions, I cannot share my cake with anyone, so I will eat it all myself. On his more serious point, my hon. Friend raises a very important question, and the simple answer is yes. That is why, if there is any evidence that Mr Taylor has been charged because of his whistleblowing, we will urgently consider what action to take.",25342,Wendy,Morton,09/11/2020,Conservative,Aldridge-Brownhills,4
text18125,"It is estimated that 50% of social enterprises could run out of cash by June without further support, raising concerns that the CBIL scheme is not working for social enterprises. Some of those will be in aviation, which is coming under huge strain. The UK aviation industry could lose around £21 billion-worth of revenue, putting at risk over 600,000 jobs, with 12,000 job cuts likely at British Airways alone, which will hit Feltham and Heston and the surrounding constituencies very hard. When will the Secretary of State bring forward specific support packages for the sectors that are worst hit by covid-19, such as aviation?",25150,Seema,Malhotra,04/05/2020,Labour/Co-operative,Feltham and Heston,4
